,mapping_rate,reads,ERCC_content,MT_content,num_genes,pass_qc,day,cell_type,batch,bgplvm_2d_0,bgplvm_2d_1,pseudotime,assignment_prob_0,assignment_prob_1,branchtime,day_int,scaled_pseudotime
1771-026-190-D11,61.4673,3670446.0,672638.524783,52003.1242685,1021,True,2,CD4+ T cell,026-190,1.0326474324700001,-0.07850340594619999,-0.8655387660524557,0.5032987658686078,0.4967012341313922,0.72,1,0.13620383939655414
1771-026-190-D12,76.3988,3770528.0,604194.52102,31603.59123440001,1094,True,2,CD4+ T cell,026-190,0.61580511132,-1.7799929729900001,-0.07715277379508521,0.4926311303228349,0.5073688696771651,0.72,1,0.35181091409358467
1771-026-190-D3,58.3152,4422436.0,543562.594966,81880.78211839999,1136,True,2,CD4+ T cell,026-190,0.936864596652,0.251786875423,-1.1088826859651053,0.5004989078934808,0.4995010921065192,0.72,1,0.06965436841033323
1771-026-190-D5,67.9321,3182645.0,852775.61679,34753.3427069,706,True,2,CD4+ T cell,026-190,1.7015726738699999,-0.033061415283900004,-0.7963586060462232,0.4990682633630478,0.5009317366369522,0.72,1,0.15512316580836463
1771-026-190-D6,56.395,3550399.0,597383.1221,103428.18325700001,1066,True,2,CD4+ T cell,026-190,1.02526989666,-0.211670963468,-0.7537807590192538,0.5008399569460462,0.4991600430539537,0.72,1,0.16676731617955196
1771-026-190-D9,66.8705,2993603.0,631316.437584,19212.551174599997,1084,True,2,CD4+ T cell,026-190,0.8614679978399999,-1.76117071385,-0.14492611265227093,0.4860720558141306,0.5139279441858693,0.72,1,0.3332763238332872
1771-026-190-E1,56.88800000000001,6382339.0,779980.759612,59747.656763,771,True,2,CD4+ T cell,026-190,1.7192227609200001,0.209956023564,-0.8842569760284038,0.4979515785555434,0.5020484214444566,0.72,1,0.1310848005803984
1771-026-190-E10,76.0428,4098754.0,761821.6840189998,62348.62817509999,837,True,2,CD4+ T cell,026-190,1.38749359343,-0.010382562513799999,-0.8326372613472679,0.5003205152399488,0.4996794847600511,0.72,1,0.14520171258593514
1771-026-190-E11,81.3084,3959452.0,971636.194902,40666.5696462,693,True,2,CD4+ T cell,026-190,1.9903569811500001,0.0668455439352,-0.8137952395987877,0.4976965022908082,0.5023034977091919,0.72,1,0.15035461133155545
1771-026-190-E12,74.9063,4426825.0,627015.1142300001,23044.7865272,1165,True,2,CD4+ T cell,026-190,0.627272208864,-1.88994378218,-0.06821256593002509,0.4795299860633563,0.5204700139366436,0.72,1,0.3542558739024847
1771-026-190-E2,76.2421,4817529.0,750161.617895,70678.7449153,810,True,2,CD4+ T cell,026-190,1.28761598815,0.0384936022059,-0.8748942021120469,0.5011720812772278,0.4988279187227722,0.72,1,0.13364532336362964
1771-026-190-E3,58.9878,4368515.0,585423.4713979999,37471.848439099995,1234,True,2,CD4+ T cell,026-190,0.595466766859,-1.49532582414,-0.1088795681531456,0.5215046330162822,0.4784953669837178,0.72,1,0.3431342996074884
1771-026-190-E4,64.0405,4082169.0,572711.143663,38635.4936055,1210,True,2,CD4+ T cell,026-190,0.496030819456,-1.77276489026,-0.04394986058264346,0.4982558505209645,0.5017441494790356,0.72,1,0.3608912162037939
1771-026-190-E5,73.5292,5185539.0,611396.1664890001,32317.0821236,1149,True,2,CD4+ T cell,026-190,0.573861659358,-1.6030928876100001,-0.08679374971165461,0.51324687766653,0.4867531223334701,0.72,1,0.3491743088836871
1771-026-190-E6,56.0249,3408798.0,586727.54062,114475.95028699999,1177,True,2,CD4+ T cell,026-190,0.866119752676,-0.45159818031800003,-0.5743548058997033,0.5000397232694741,0.4999602767305258,0.72,1,0.21583656050499378
1771-026-190-E7,88.2029,3249640.0,867261.301141,27797.963819700002,428,True,2,CD4+ T cell,026-190,1.7127024818799998,-0.38300896178800004,-0.6699718592963877,0.5003229934403003,0.4996770065596997,0.72,1,0.1896872968492808
1771-026-190-E8,78.7774,1881626.0,195933.77177999998,39718.2435461,2483,True,2,CD4+ T cell,026-190,-1.17235765402,-1.50037012201,0.4930230047532568,0.5044488097088243,0.4955511902911757,0.72,1,0.5077420606172761
1771-026-190-E9,84.7701,1805695.0,323332.037775,28740.466752099997,1815,True,2,CD4+ T cell,026-190,-0.46426820949500003,-1.8961903838599998,0.2485473825780491,0.4827141133581298,0.5172858866418703,0.72,1,0.44088309273910825
1771-026-190-F10,77.4343,3065270.0,617043.3522399999,25660.0290483,1246,True,2,CD4+ T cell,026-190,0.4716803100600001,-1.29364974253,-0.09930213602460833,0.5475416030002883,0.4524583969997117,0.72,1,0.34575352692078803
1771-026-190-F11,57.2793,3668579.0,775913.82866,109919.065924,881,True,2,CD4+ T cell,026-190,1.51961287268,0.276138093424,-0.940987228108578,0.4990960937818773,0.5009039062181228,0.72,1,0.11557026351612427
1771-026-190-F12,87.48700000000002,4041387.0,498107.469838,25840.2272582,1325,True,2,CD4+ T cell,026-190,0.0996572539597,-1.78930775667,0.0771654046041329,0.5108988246970034,0.4891011753029965,0.72,1,0.39401370732429974
1771-026-190-F2,87.3656,5363647.0,582671.825252,18174.8088888,1045,True,2,CD4+ T cell,026-190,0.48618628114600004,-2.01672494458,-0.0193016956401808,0.4657174185939034,0.5342825814060965,0.72,1,0.3676319736399805
1771-026-190-F3,65.4091,5100162.0,711199.85415,25703.306,1027,True,2,CD4+ T cell,026-190,0.977528617388,-1.59997968045,-0.19958872595714008,0.4944388234111045,0.5055611765888955,0.72,1,0.3183272427160388
1771-026-190-F4,61.3388,5308862.0,748555.593475,66931.7528028,849,True,2,CD4+ T cell,026-190,1.43209209132,0.0336787492472,-0.8481408360271023,0.5000784461394019,0.4999215538605981,0.72,1,0.14096180926840532
1771-026-190-F5,87.3734,4282420.0,877621.427357,24067.1767177,505,True,2,CD4+ T cell,026-190,1.69327067405,-0.272394937531,-0.7087456117568719,0.4999674253633043,0.5000325746366956,0.72,1,0.17908348675481797
1771-026-190-F6,56.3886,3221460.0,527502.384198,82667.8664666,1408,True,2,CD4+ T cell,026-190,0.48258077700400004,-0.32321841266199997,-0.7354968641881153,0.5021928175167092,0.4978071824832908,0.72,1,0.17176757889010882
1771-026-190-F7,84.8646,3901396.0,693080.297126,62825.75151749999,948,True,2,CD4+ T cell,026-190,0.872621265956,-1.43812168058,-0.2016642294171265,0.5080282861477415,0.4919717138522585,0.72,1,0.31775963594229345
1771-026-190-F9,76.67399999999998,4047505.0,808986.5316600002,62938.96738330001,666,True,2,CD4+ T cell,026-190,1.6809793656299998,-0.399771828584,-0.6626136579124631,0.5003179098429923,0.4996820901570077,0.72,1,0.19169961098347424
1771-026-190-G10,62.0027,3306229.0,375754.092415,30555.396274799998,2097,True,2,CD4+ T cell,026-190,-0.534617025334,-1.3089420783,0.3090016417704442,0.6239219181360619,0.3760780818639382,0.72,1,0.45741606783691197
1771-026-190-G11,64.1127,4105449.0,609510.863054,149131.222664,1391,True,2,CD4+ T cell,026-190,0.567035126113,-1.30197795579,-0.1323705172787885,0.5371667982834754,0.4628332017165247,0.72,1,0.33671001648655846
1771-026-190-G12,77.4506,6873631.0,704316.402905,23877.5397599,853,True,2,CD4+ T cell,026-190,1.09227323651,-1.5030924778,-0.2454304537518756,0.4961283725212252,0.5038716274787748,0.72,1,0.30579048924001573
1771-026-190-G2,76.3433,5765953.0,746692.29617,39292.1982865,794,True,2,CD4+ T cell,026-190,1.38961982822,0.08229875888610001,-0.87821861242145,0.5003806445371013,0.4996193554628988,0.72,1,0.1327361666955225
1771-026-190-G3,69.1534,5727792.0,757411.666102,80629.0291137,884,True,2,CD4+ T cell,026-190,1.38377340908,0.08141251913019999,-0.8788674082457496,0.5004274676737175,0.4995725323262825,0.72,1,0.1325587346113319
1771-026-190-G4,73.6738,4726231.0,696959.784025,74862.8624088,970,True,2,CD4+ T cell,026-190,1.11247322282,-0.7995929999410001,-0.44717761718353627,0.5042495180477565,0.4957504819522434,0.72,1,0.2506168608865023
1771-026-190-G5,73.4316,5275174.0,605388.434218,57143.084570700004,1016,True,2,CD4+ T cell,026-190,0.8471786747229999,-0.119319147094,-0.9137564159064241,0.5057335285031826,0.4942664714968174,0.72,1,0.12301732094508729
1771-026-190-G6,65.8372,3971389.0,540065.808909,44597.439979,1426,True,2,CD4+ T cell,026-190,0.21978014890500008,-1.65141144236,0.0309577320813017,0.5288461136697101,0.4711538863302898,0.72,1,0.3813768756212402
1771-026-190-G7,78.6484,3306385.0,636077.407469,54017.245226499996,1075,True,2,CD4+ T cell,026-190,0.780481743009,-0.703134982527,-0.4036757050133233,0.5120593311835435,0.4879406688164565,0.72,1,0.26251372374157556
1771-026-190-G8,57.9086,4519637.0,711284.330109,46327.9740921,1037,True,2,CD4+ T cell,026-190,1.13823148509,0.4057871402880001,-1.0996343451059305,0.5006913080248094,0.4993086919751906,0.72,1,0.07218359614653172
1771-026-190-G9,78.1071,3568358.0,651560.077958,43790.289167,988,True,2,CD4+ T cell,026-190,0.894806357456,-1.70929228178,-0.16102439264517526,0.4893680014522255,0.5106319985477744,0.72,1,0.3288737810547357
1771-026-190-H1,83.3834,4362708.0,447967.78476999997,17841.2347468,1171,True,2,CD4+ T cell,026-190,0.77956101911,-0.431647117126,-0.5744468517784633,0.4999706637394003,0.5000293362605996,0.72,1,0.21581138788288703
1771-026-190-H10,76.9093,4198296.0,807100.070596,37105.5901469,682,True,2,CD4+ T cell,026-190,1.51969775131,-0.159491159348,-0.7550736241169079,0.4998167121420757,0.5001832878579243,0.72,1,0.1664137446239679
1771-026-190-H12,79.2715,3221696.0,379375.90679000004,35956.229815800005,1782,True,2,CD4+ T cell,026-190,-0.282995918407,-1.05563545619,0.2173064574484496,0.6734629933051473,0.32653700669485275,0.72,1,0.4323393533219029
1771-026-190-H2,77.11,4624412.0,275396.548025,50919.69969730001,2315,True,2,CD4+ T cell,026-190,-0.815858571911,-1.1650864940999999,0.4374962580801153,0.6347252112659206,0.3652747887340793,0.72,1,0.49255665710273616
1771-026-190-H3,80.6459,2317995.0,894921.1497129998,233004.60374000002,893,True,2,CD4+ T cell,026-190,1.4816948361200002,-0.464493046013,-0.6296233800016957,0.5002166895576448,0.4997833104423553,0.72,1,0.20072176178731624
1771-026-190-H6,79.9533,3218312.0,930551.84845,257252.46284499997,872,True,2,CD4+ T cell,026-190,1.4790479109399999,-1.25694556933,-0.3800584292385872,0.4966239985774448,0.5033760014225552,0.72,1,0.26897255455809466
1771-026-190-H8,68.3082,3712829.0,618357.6394529999,37090.7031704,1162,True,2,CD4+ T cell,026-190,0.750547129753,0.0721154686383,-1.0801399311379132,0.5017175792058872,0.4982824207941128,0.72,1,0.07751491051519825
1771-026-192-B10,81.955,2943936.0,266833.189295,57392.783946899995,1955,True,3,CD4+ T cell,026-192,-0.70800435891,-0.535397729809,0.6038670421633879,0.7226765994078993,0.2773234005921008,0.72,2,0.5380555858299422
1771-026-192-B7,83.2502,3311660.0,148036.863095,80506.343598,2306,True,3,CD4+ T cell,026-192,-1.3580893797799998,-1.8896230205400002,0.4867759850220376,0.3841393098697429,0.6158606901302571,0.72,2,0.5060336314175561
1771-026-192-B9,84.6033,3818194.0,183263.95382,74963.0767911,2262,True,3,CD4+ T cell,026-192,-1.30368662619,-1.7424606921799999,0.494216753780089,0.4245451774562101,0.5754548225437899,0.72,2,0.5080685260011432
1771-026-192-C12,85.524,3038400.0,178941.97819000005,65809.71419859999,2217,True,3,CD4+ T cell,026-192,-1.1439687453299998,-1.22759399719,0.5418480132448202,0.5637904304098237,0.4362095695901763,0.72,2,0.5210946789492963
1771-026-192-C5,83.1738,3230297.0,173289.45286199998,66910.48263019999,2199,True,3,CD4+ T cell,026-192,-1.0109077863,-1.24927193593,0.4959428978513535,0.5843929397305822,0.4156070602694178,0.72,2,0.5085405902911813
1771-026-192-C7,84.57799999999997,3221599.0,111844.53591500001,66547.3466791,2486,True,3,CD4+ T cell,026-192,-1.35887449863,-0.8880958066879999,0.6937225938483281,0.5586975560155932,0.4413024439844068,0.72,2,0.5626291993065161
1771-026-192-C9,82.6163,3636069.0,204134.47783800002,18371.4754573,2057,True,3,CD4+ T cell,026-192,-0.9814838787569999,-1.2948976710200002,0.4776722047750869,0.5797284590036273,0.4202715409963727,0.72,2,0.5035439379843819
1771-026-192-D4,84.3426,2554001.0,123119.64918,143190.422226,2272,True,3,CD4+ T cell,026-192,-1.2254202547,-1.39506047948,0.5310488120744947,0.5149276529638889,0.4850723470361112,0.72,2,0.5181413233642588
1771-026-192-E10,80.7535,3115409.0,123676.41828399998,97427.0119914,2415,True,3,CD4+ T cell,026-192,-1.26187152591,-1.4822062728100005,0.5249452998843425,0.4896256705626085,0.5103743294373915,0.72,2,0.5164721404746333
1771-026-192-E2,84.911,3126621.0,133464.611626,29957.826455299997,2518,True,3,CD4+ T cell,026-192,-1.52459780051,-1.6815068559600002,0.5530995108839788,0.4037161035812397,0.5962838964187602,0.72,2,0.5241717281558576
1771-026-192-F2,85.5763,3678399.0,119744.59191500001,61579.5787535,2505,True,3,CD4+ T cell,026-192,-1.4620642712099998,-1.7904261755400002,0.5231101846952231,0.39047446907665545,0.6095255309233446,0.72,2,0.5159702748636967
1771-026-192-F5,83.5434,3618073.0,161602.976616,67371.8839293,2299,True,3,CD4+ T cell,026-192,-1.28099907831,-1.84958870057,0.4744470516068176,0.4037823772150941,0.5962176227849059,0.72,2,0.5026619260677706
1771-026-192-F6,80.0163,3886469.0,203599.640987,59707.5685045,1993,True,3,CD4+ T cell,026-192,-0.739453266444,-1.7544242158099996,0.34265555011135324,0.4969571988924682,0.5030428011075319,0.72,2,0.4666197076792808
1771-026-192-F7,85.6592,4415483.0,214820.035339,47046.7023065,1932,True,3,CD4+ T cell,026-192,-0.689366277039,-1.2294188814700002,0.3850825137228777,0.6323090124171921,0.367690987582808,0.72,2,0.4782225945930451
1771-026-192-G1,82.6678,3553409.0,329456.108256,56223.9119024,1436,True,3,CD4+ T cell,026-192,-0.0774696071146,-2.27675734508,0.1421794958200677,0.4142738202524917,0.5857261797475084,0.72,2,0.4117937010822019
1771-026-192-G10,83.46600000000002,3022804.0,101973.175184,63907.9462515,3071,True,3,CD4+ T cell,026-192,-1.88719717158,-1.19772843859,0.7156169213230922,0.4351471961016405,0.5648528038983596,0.72,2,0.5686168398095853
1771-026-192-G3,75.1676,3558041.0,134480.533739,117487.107599,2513,True,3,CD4+ T cell,026-192,-1.32538690326,-0.670211889583,0.7649071538257727,0.5651446006153913,0.4348553993846087,0.72,2,0.5820966871754809
1771-026-192-G5,87.2014,3499424.0,189820.27482,45181.305514499996,2045,True,3,CD4+ T cell,026-192,-1.0387613808,-1.8896436308200002,0.4109099455514987,0.427811211603488,0.5721887883965121,0.72,2,0.48528585685061204
1771-026-192-H12,83.8766,3437101.0,116452.08076600001,32984.3616622,2701,True,3,CD4+ T cell,026-192,-1.68878898391,-1.6175849638600002,0.597109412683376,0.3919746649094959,0.608025335090504,0.72,2,0.5362075155466284
1771-026-192-H4,76.3757,2791118.0,93272.783395,88124.5218083,3168,True,3,CD4+ T cell,026-192,-1.96801840408,-1.67797991164,0.6364264891583792,0.3457980967445895,0.6542019032554105,0.72,2,0.5469599133919308
1771-026-192-H5,86.2835,3405267.0,98425.150341,51165.3234669,2889,True,3,CD4+ T cell,026-192,-1.9102105569499999,-1.50016456983,0.6580383677439038,0.38333862897216014,0.6166613710278399,0.72,2,0.5528703100330361
1771-026-195-A1,65.051,2531332.0,92552.411092,77190.7366278,3657,True,4,CD4+ T cell,026-195,-2.15486190167,0.0710832233922,1.0844511559052072,0.5021649133568172,0.4978350866431828,0.72,3,0.6694852864174085
1771-026-195-A10,70.5738,241720.0,65394.69416,58684.84565900001,4027,True,4,CD4+ T cell,026-195,-2.42763302788,0.535507934929,1.1809672044675974,0.4703420270122382,0.5296579729877618,0.72,3,0.6958804064426513
1771-026-195-A11,80.8879,2225583.0,76878.047003,57564.8861648,3914,True,4,CD4+ T cell,026-195,-2.5038685948099997,0.777884582272,1.2246837375320996,0.42379028675628383,0.5762097132437163,0.72,3,0.7078359636221304
1771-026-195-A12,72.2707,2561813.0,94878.57945,80486.2246458,3554,True,4,CD4+ T cell,026-195,-2.05715461151,1.08514968513,1.3366240069981834,0.32989642541375225,0.6701035745862478,0.72,3,0.7384492853673253
1771-026-195-A3,72.8662,2818229.0,149371.855882,87259.31300780001,3040,True,4,CD4+ T cell,026-195,-1.26148500361,0.170426546146,1.1945417244497312,0.5241605566498317,0.4758394433501682,0.72,3,0.6995927536589991
1771-026-195-A4,62.6533,3370180.0,207616.274263,103619.967087,2874,True,4,CD4+ T cell,026-195,-0.882932673458,1.15661569396,1.5939491871181652,0.5087529469961345,0.4912470530038656,0.72,3,0.8088223385118869
1771-026-195-A5,80.5006,2167376.0,77815.678905,71107.22913189999,3887,True,4,CD4+ T cell,026-195,-2.44260700845,0.9190344323649999,1.2581101154666523,0.385167023561057,0.614832976438943,0.72,3,0.7169773786586289
1771-026-195-A6,63.4188,3987839.0,216203.22632600003,77436.0435941,2477,True,4,CD4+ T cell,026-195,-0.562246013636,1.2843600241,1.7138307752804471,0.5462257187983132,0.4537742812016868,0.72,3,0.8416074447765169
1771-026-195-A7,77.0409,3462949.0,174037.722927,64636.4436977,2652,True,4,CD4+ T cell,026-195,-1.31127251877,-0.0223743292643,1.0936977614829286,0.4987366246362877,0.5012633753637123,0.72,3,0.672014039590434
1771-026-195-A8,72.07,4487633.0,180429.95237,287100.363021,2027,True,4,CD4+ T cell,026-195,-0.141808529699,1.3548581961000001,1.8879664589616405,0.6486303339415416,0.3513696660584583,0.72,3,0.8892299110907242
1771-026-195-A9,73.61,4795133.0,403000.882574,101783.273405,1470,True,4,CD4+ T cell,026-195,0.685219383081,0.30345500103,-1.1636283038747306,0.4988569336977736,0.5011430663022265,0.72,3,0.05468258727026146
1771-026-195-B1,75.2706,3326159.0,75834.502878,110594.348529,3594,True,4,CD4+ T cell,026-195,-2.24909142361,-0.828741075173,0.8503388157792084,0.4456514932290596,0.5543485067709403,0.72,3,0.6054604593647167
1771-026-195-B10,68.6323,2677445.0,249855.945042,90212.77993160002,2119,True,4,CD4+ T cell,026-195,-0.418219938879,0.8663801768189999,1.6933886417868391,0.8488241708494031,0.15117582915059696,0.72,3,0.8360169489452767
1771-026-195-B12,64.4258,5214733.0,344514.86508,62411.3400166,1806,True,4,CD4+ T cell,026-195,-0.0382992591661,0.896931815159,1.966286318575974,0.9129216458103848,0.08707835418961518,0.72,3,0.9106487541294981
1771-026-195-B2,82.7516,4447772.0,140540.844946,23407.660245299998,2771,True,4,CD4+ T cell,026-195,-1.62310016995,0.176439336131,1.151714972609012,0.5033330662222282,0.4966669337777719,0.72,3,0.6878805330287031
1771-026-195-B3,63.7106,5716607.0,615524.637858,56378.0614046,1094,True,4,CD4+ T cell,026-195,1.01979135554,0.261166180762,-1.0434543199553683,0.5014094401807943,0.4985905598192057,0.72,3,0.08754765765710719
1771-026-195-B5,81.1956,4523507.0,136787.800227,31989.241924500002,2824,True,4,CD4+ T cell,026-195,-1.4874527198899998,1.0550175420999999,1.4267888867258085,0.3813646277140169,0.6186353722859832,0.72,3,0.7631074935919794
1771-026-195-B6,67.9419,4462881.0,202130.995055,87014.43196739999,2469,True,4,CD4+ T cell,026-195,-0.815235172651,-0.625965151202,0.6233693116518728,0.6904591520248529,0.3095408479751472,0.72,3,0.5433890485191077
